Index,Image_ID,Breed,Chest_Girth_cm,Back_Length_cm,Height_cm,Recommended_Size,Fit_Ratio,Verdict,Mesh_OBJ,Depth_PNG,Mask_PNG,VTON_PNG
22,00022,Golden Retriever,83.6,52.9,59.1,L,0.972,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00022_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00022_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00022_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00022_stage4_vton_L.png
23,00023,Golden Retriever,85.9,87.8,66.0,L,0.999,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00023_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00023_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00023_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00023_stage4_vton_L.png
24,00024,Golden Retriever,93.4,48.2,68.2,XL,0.943,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00024_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00024_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00024_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00024_stage4_vton_XL.png
25,00025,Golden Retriever,93.3,123.9,64.3,XL,0.942,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00025_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00025_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00025_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00025_stage4_vton_XL.png
26,00026,Golden Retriever,91.5,50.4,71.0,L,1.064,Tight,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00026_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00026_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00026_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00026_stage4_vton_L.png
27,00027,Golden Retriever,86.4,55.1,59.4,L,1.005,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00027_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00027_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00027_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00027_stage4_vton_L.png
28,00028,Golden Retriever,88.3,42.7,77.2,L,1.027,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00028_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00028_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00028_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00028_stage4_vton_L.png
29,00029,Golden Retriever,148.2,35.3,57.3,XL,1.497,Tight,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00029_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00029_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00029_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00029_stage4_vton_XL.png
30,00030,Golden Retriever,95.9,63.2,83.3,XL,0.969,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00030_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00030_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00030_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00030_stage4_vton_XL.png
31,00031,Golden Retriever,90.2,37.9,60.4,L,1.049,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00031_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00031_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00031_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00031_stage4_vton_L.png
32,00032,Golden Retriever,82.8,23.7,59.4,L,0.963,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00032_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00032_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00032_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00032_stage4_vton_L.png
33,00033,Golden Retriever,104.3,58.8,80.9,XL,1.054,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00033_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00033_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00033_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00033_stage4_vton_XL.png
34,00034,Golden Retriever,93.3,59.6,80.0,XL,0.942,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00034_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00034_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00034_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00034_stage4_vton_XL.png
35,00035,Golden Retriever,100.0,111.8,85.9,XL,1.01,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00035_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00035_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00035_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00035_stage4_vton_XL.png
36,00036,Golden Retriever,134.9,112.0,85.8,XL,1.363,Tight,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00036_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00036_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00036_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00036_stage4_vton_XL.png
37,00037,Golden Retriever,93.7,19.9,60.5,XL,0.946,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00037_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00037_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00037_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00037_stage4_vton_XL.png
38,00038,Golden Retriever,86.3,60.0,74.4,L,1.003,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00038_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00038_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00038_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00038_stage4_vton_L.png
39,00039,Golden Retriever,87.4,49.1,69.4,L,1.016,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00039_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00039_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00039_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00039_stage4_vton_L.png
40,00040,Golden Retriever,100.0,61.8,77.9,XL,1.01,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00040_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00040_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00040_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00040_stage4_vton_XL.png
41,00041,Golden Retriever,95.3,139.9,87.9,XL,0.963,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00041_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00041_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00041_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00041_stage4_vton_XL.png
42,00042,Golden Retriever,81.8,53.3,62.4,L,0.951,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00042_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00042_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00042_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00042_stage4_vton_L.png
43,00043,Golden Retriever,119.0,48.9,78.6,XL,1.202,Tight,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00043_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00043_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00043_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00043_stage4_vton_XL.png
44,00044,Golden Retriever,82.3,54.2,73.3,L,0.957,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00044_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00044_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00044_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00044_stage4_vton_L.png
45,00045,Golden Retriever,88.9,135.7,90.6,L,1.034,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00045_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00045_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00045_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00045_stage4_vton_L.png
46,00046,Golden Retriever,118.5,66.7,69.4,XL,1.197,Tight,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00046_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00046_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00046_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00046_stage4_vton_XL.png
47,00047,Golden Retriever,71.5,42.7,59.7,M,0.953,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00047_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00047_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00047_stage3_mask_M.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00047_stage4_vton_M.png
