Index,Image_ID,Breed,Chest_Girth_cm,Back_Length_cm,Withers_Height_cm,Recommended_Size,Fit_Ratio,Sizing_Verdict,3D_Mesh_OBJ_Path,VTON_Image_PNG_Path
32,golden_golden_retriever_dog_show_bing_00031,Golden Retriever,76.7,55.4,66.1,M,1.023,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00031_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00031_vton_M.png
33,golden_golden_retriever_dog_show_bing_00032,Golden Retriever,88.3,45.1,60.6,L,1.027,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00032_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00032_vton_L.png
34,golden_golden_retriever_dog_show_bing_00033,Golden Retriever,104.4,53.8,64.8,XL,1.055,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00033_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00033_vton_XL.png
35,golden_golden_retriever_dog_show_bing_00034,Golden Retriever,79.6,32.0,53.4,M,1.061,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00034_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00034_vton_M.png
36,golden_golden_retriever_dog_show_bing_00035,Golden Retriever,78.2,47.8,70.9,M,1.043,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00035_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00035_vton_M.png
37,golden_golden_retriever_dog_show_bing_00036,Golden Retriever,100.7,53.9,71.5,XL,1.017,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00036_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00036_vton_XL.png
38,golden_golden_retriever_dog_show_bing_00037,Golden Retriever,92.4,64.8,78.9,L,1.074,Tight,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00037_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00037_vton_L.png
39,golden_golden_retriever_dog_show_bing_00038,Golden Retriever,74.1,55.9,76.9,M,0.988,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00038_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00038_vton_M.png
40,golden_golden_retriever_dog_show_bing_00039,Golden Retriever,74.5,59.5,63.4,M,0.993,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00039_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00039_vton_M.png
41,golden_golden_retriever_dog_show_bing_00040,Golden Retriever,87.7,46.6,73.7,L,1.02,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00040_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00040_vton_L.png
42,golden_golden_retriever_dog_show_bing_00041,Golden Retriever,90.0,53.1,74.1,L,1.047,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00041_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00041_vton_L.png
43,golden_golden_retriever_dog_show_bing_00042,Golden Retriever,108.0,54.8,69.2,XL,1.091,Tight,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00042_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00042_vton_XL.png
