index,breed,source_image,output_image,garment_name,chest_girth_cm,back_length_cm,withers_height_cm,recommended_size,physical_fit_ratio,fit_verdict,processing_time_sec
54,golden,00054.jpg,00054_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,99.1,52.7,72.6,XL,1.001,Good Fit,1.24
55,golden,00055.jpg,00055_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,91.3,23.9,79.0,L,1.062,Tight,1.18
56,golden,00056.jpg,00056_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,102.4,57.5,80.0,XL,1.034,Good Fit,1.26
57,golden,00057.jpg,00057_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,81.8,46.1,62.1,L,0.951,Good Fit,1.17
58,golden,00058.jpg,00058_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,65.5,56.7,76.8,S,1.048,Good Fit,1.16
59,golden,00059.jpg,00059_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,87.6,42.4,71.2,L,1.019,Good Fit,1.23
60,golden,00060.jpg,00060_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,85.0,56.6,76.2,L,0.988,Good Fit,1.29
61,golden,00061.jpg,00061_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,91.8,56.1,84.7,L,1.067,Tight,1.23
62,golden,00062.jpg,00062_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,100.5,61.8,84.4,XL,1.015,Good Fit,1.21
63,golden,00063.jpg,00063_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,94.1,21.1,78.4,XL,0.951,Good Fit,1.14
64,labrador,00001.jpg,00001_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,85.8,103.0,75.8,L,0.998,Good Fit,1.18
65,labrador,00002.jpg,00002_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,96.8,51.5,67.9,XL,0.978,Good Fit,1.16
66,labrador,00003.jpg,00003_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,97.9,54.3,64.1,XL,0.989,Good Fit,1.17
67,labrador,00004.jpg,00004_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,91.8,52.7,75.8,L,1.067,Tight,1.25
68,labrador,00005.jpg,00005_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,76.7,47.6,68.4,M,1.023,Good Fit,1.29
69,labrador,00006.jpg,00006_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,88.8,7.8,60.8,L,1.033,Good Fit,1.22
