Global_Index,Garment_Category,Garment_Brand_Model,Garment_Folder,Dog_ID,Breed,Chest_Girth_cm,Back_Length_cm,Withers_Height_cm,Recommended_Size,Fit_Ratio,Verdict,Clean_Tryon_File
39,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00039,Golden Retriever,87.4,49.1,69.4,L,1.016,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00039_clean_tryon.png
40,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00040,Golden Retriever,100.0,61.8,77.9,XL,1.01,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00040_clean_tryon.png
41,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00041,Golden Retriever,95.3,139.9,87.9,XL,0.963,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00041_clean_tryon.png
42,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00042,Golden Retriever,81.8,53.3,62.4,L,0.951,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00042_clean_tryon.png
43,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00043,Golden Retriever,119.0,48.9,78.6,XL,1.202,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00043_clean_tryon.png
44,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00044,Golden Retriever,82.3,54.2,73.3,L,0.957,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00044_clean_tryon.png
45,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00045,Golden Retriever,88.9,135.7,90.6,L,1.034,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00045_clean_tryon.png
46,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00046,Golden Retriever,118.5,66.7,69.4,XL,1.197,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00046_clean_tryon.png
47,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00047,Golden Retriever,71.5,42.7,59.7,M,0.953,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00047_clean_tryon.png
48,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00048,Golden Retriever,100.3,55.9,83.0,XL,1.013,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00048_clean_tryon.png
49,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00049,Golden Retriever,116.7,56.3,74.7,XL,1.179,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00049_clean_tryon.png
50,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00050,Golden Retriever,90.7,52.9,72.1,L,1.055,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00050_clean_tryon.png
51,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00051,Golden Retriever,95.4,49.5,61.6,XL,0.964,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00051_clean_tryon.png
52,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00052,Golden Retriever,96.7,48.3,70.0,XL,0.977,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00052_clean_tryon.png
53,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00053,Golden Retriever,87.1,109.0,68.4,L,1.013,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00053_clean_tryon.png
54,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00054,Golden Retriever,99.1,52.7,72.6,XL,1.001,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00054_clean_tryon.png
55,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00055,Golden Retriever,91.3,23.9,79.0,L,1.062,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00055_clean_tryon.png
56,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00056,Golden Retriever,102.4,57.5,80.0,XL,1.034,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00056_clean_tryon.png
57,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00057,Golden Retriever,81.8,46.1,62.1,L,0.951,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00057_clean_tryon.png
58,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00058,Golden Retriever,65.5,56.7,76.8,S,1.048,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00058_clean_tryon.png
59,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00059,Golden Retriever,87.6,42.4,71.2,L,1.019,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00059_clean_tryon.png
60,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00060,Golden Retriever,85.0,56.6,76.2,L,0.988,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00060_clean_tryon.png
61,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00061,Golden Retriever,91.8,56.1,84.7,L,1.067,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00061_clean_tryon.png
62,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00062,Golden Retriever,100.5,61.8,84.4,XL,1.015,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00062_clean_tryon.png
63,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00063,Golden Retriever,94.1,21.1,78.4,XL,0.951,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00063_clean_tryon.png
64,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00001,Labrador Retriever,85.8,103.0,75.8,L,0.998,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\labrador\00001_clean_tryon.png
65,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00002,Labrador Retriever,96.8,51.5,67.9,XL,0.978,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\labrador\00002_clean_tryon.png
66,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00003,Labrador Retriever,97.9,54.3,64.1,XL,0.989,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\labrador\00003_clean_tryon.png
67,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00004,Labrador Retriever,91.8,52.7,75.8,L,1.067,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\labrador\00004_clean_tryon.png
68,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00005,Labrador Retriever,76.7,47.6,68.4,M,1.023,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\labrador\00005_clean_tryon.png
69,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00006,Labrador Retriever,88.8,7.8,60.8,L,1.033,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\labrador\00006_clean_tryon.png
70,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00007,Labrador Retriever,80.8,52.3,69.1,L,0.94,Loose,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\labrador\00007_clean_tryon.png
71,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00008,Labrador Retriever,78.7,21.2,89.4,M,1.049,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\labrador\00008_clean_tryon.png
72,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00009,Labrador Retriever,92.6,42.5,66.8,XL,0.935,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\labrador\00009_clean_tryon.png
73,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00010,Labrador Retriever,134.5,51.0,68.2,XL,1.359,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\labrador\00010_clean_tryon.png
74,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00011,Labrador Retriever,99.0,61.2,80.3,XL,1.0,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\labrador\00011_clean_tryon.png
75,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00012,Labrador Retriever,94.6,59.4,79.9,XL,0.956,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\labrador\00012_clean_tryon.png
76,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00013,Labrador Retriever,91.4,39.6,51.1,L,1.063,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\labrador\00013_clean_tryon.png
77,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00014,Labrador Retriever,89.7,49.6,81.1,L,1.043,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\labrador\00014_clean_tryon.png
78,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00015,Labrador Retriever,113.0,50.4,71.4,XL,1.141,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\labrador\00015_clean_tryon.png
79,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00016,Labrador Retriever,96.5,58.5,76.9,XL,0.975,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\labrador\00016_clean_tryon.png
80,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00017,Labrador Retriever,97.2,60.1,80.4,XL,0.982,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\labrador\00017_clean_tryon.png
