Index,Image_ID,Breed,Chest_Girth_cm,Semi_Depth_A_cm,Semi_Width_B_cm,Back_Length_cm,Height_cm,Recommended_Size,Fit_Ratio,Verdict,Stage1_3D_Mesh,Stage2_Depth,Stage3_Mask,Stage4_VTON
140,golden_golden_retriever_standing_side_profile_bing_00014,Golden Retriever,95.1,15.6,14.7,56.1,72.5,XL,0.961,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00014_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00014_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00014_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00014_stage4_vton_XL.png
141,golden_golden_retriever_standing_side_profile_bing_00015,Golden Retriever,88.1,14.2,13.8,91.0,49.6,L,1.024,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00015_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00015_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00015_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00015_stage4_vton_L.png
142,golden_golden_retriever_standing_side_profile_bing_00016,Golden Retriever,134.1,21.7,21.0,64.4,75.5,XL,1.355,Tight,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00016_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00016_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00016_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00016_stage4_vton_XL.png
143,golden_golden_retriever_standing_side_profile_bing_00017,Golden Retriever,85.3,14.0,13.2,60.2,80.6,L,0.992,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00017_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00017_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00017_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00017_stage4_vton_L.png
144,golden_golden_retriever_standing_side_profile_bing_00018,Golden Retriever,110.4,17.6,17.6,35.2,62.1,XL,1.115,Tight,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00018_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00018_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00018_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00018_stage4_vton_XL.png
145,golden_golden_retriever_standing_side_profile_bing_00019,Golden Retriever,73.9,12.0,11.6,45.2,56.3,M,0.985,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00019_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00019_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00019_stage3_mask_M.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00019_stage4_vton_M.png
146,golden_golden_retriever_standing_side_profile_bing_00020,Golden Retriever,88.0,14.1,13.9,53.3,73.8,L,1.023,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00020_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00020_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00020_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00020_stage4_vton_L.png
147,golden_golden_retriever_standing_side_profile_bing_00021,Golden Retriever,88.3,14.5,13.6,50.5,79.8,L,1.027,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00021_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00021_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00021_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00021_stage4_vton_L.png
148,golden_golden_retriever_standing_side_profile_bing_00022,Golden Retriever,90.6,14.9,14.0,38.1,63.0,L,1.053,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00022_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00022_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00022_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00022_stage4_vton_L.png
149,golden_golden_retriever_standing_side_profile_bing_00023,Golden Retriever,94.0,15.2,14.7,55.3,72.4,XL,0.949,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00023_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00023_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00023_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00023_stage4_vton_XL.png
150,golden_golden_retriever_standing_side_profile_bing_00024,Golden Retriever,93.8,15.0,14.9,61.6,82.0,XL,0.947,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00024_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00024_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00024_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00024_stage4_vton_XL.png
151,golden_golden_retriever_standing_side_profile_bing_00025,Golden Retriever,86.2,14.8,12.6,112.4,77.1,L,1.002,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00025_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00025_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00025_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00025_stage4_vton_L.png
152,golden_golden_retriever_standing_side_profile_bing_00026,Golden Retriever,85.2,14.0,13.1,64.2,88.8,L,0.991,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00026_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00026_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00026_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00026_stage4_vton_L.png
153,golden_golden_retriever_standing_side_profile_bing_00027,Golden Retriever,142.1,24.4,20.8,51.2,56.4,XL,1.435,Tight,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00027_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00027_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00027_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00027_stage4_vton_XL.png
154,golden_golden_retriever_standing_side_profile_bing_00028,Golden Retriever,90.9,15.1,13.8,58.6,87.2,L,1.057,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00028_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00028_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00028_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00028_stage4_vton_L.png
155,golden_golden_retriever_standing_side_profile_bing_00029,Golden Retriever,93.3,14.9,14.7,59.2,82.1,XL,0.942,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00029_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00029_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00029_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00029_stage4_vton_XL.png
